id,type,sub_type,start_date,end_date,listing_type,tom,building_age,total_floor_count,floor_no,room_count,size,address,furnished,heating_type,price,price_currency
6723,Konut,Daire,10/2/18,1/22/19,1,112,0,6,2,2+1,,İstanbul/Esenyurt/Bağlarçeşme,,Kalorifer (Doğalgaz),174000,TRY
6724,Konut,Daire,1/18/19,2/17/19,1,30,0,10-20 arası,,3+1,150,İstanbul/Küçükçekmece/Cennet,,Kalorifer (Doğalgaz),900000,TRY
6725,Konut,Daire,9/1/18,10/1/18,1,30,11-15 arası,7,1,3+1,,Manisa/Yunusemre/Güzelyurt,,Kalorifer (Doğalgaz),282000,TRY
6726,Konut,Villa,11/1/18,,1,118,26-30 arası,2,,3+1,200,İstanbul/Silivri/Selimpaşa,,Kalorifer (Doğalgaz),775000,TRY
6727,Konut,Daire,2/18/19,,1,9,0,4,Yüksek Giriş,2+1,80,Çanakkale/Merkez/Barbaros,,Kalorifer (Doğalgaz),180000,TRY
6728,Konut,Villa,11/11/18,,1,108,4,,,4+1,150,Adana/Sarıçam/Çınarlı,,Kalorifer (Doğalgaz),749900,TRY
6729,Konut,Daire,12/15/18,,2,74,26-30 arası,7,Kot 1,2+1,115,Kayseri/Melikgazi/Osman Kavuncu,,Kalorifer (Doğalgaz),700,TRY
6730,Konut,Prefabrik Ev,11/6/18,12/6/18,1,30,,2,,4+1,130,Kayseri/Kocasinan/Fatih,,Kalorifer (Doğalgaz),123500,TRY
6731,Konut,Daire,12/3/18,1/2/19,1,30,0,5,Yüksek Giriş,2+1,85,İstanbul/Sultangazi/Yunus Emre,,Kalorifer (Doğalgaz),269000,TRY
6732,Konut,Komple Bina,11/7/18,,1,112,6-10 arası,4,,+,1030,İstanbul/Üsküdar/Salacak,,Kalorifer (Doğalgaz),16000000,TRY
6733,Konut,Daire,11/12/18,11/30/18,2,18,,,Bodrum Kat,2+1,115,Konya/Selçuklu/Sancak,,Kalorifer (Doğalgaz),450,TRY
6734,Konut,Müstakil Ev,9/7/18,10/7/18,1,30,11-15 arası,,,6+1,,Aydın/Söke/Yenikent,,Kalorifer (Doğalgaz),450000,TRY
6735,Konut,Daire,11/21/18,12/15/18,1,24,6-10 arası,8,Giriş Katı,2+1,95,Antalya/Muratpaşa/Çağlayan,,Kalorifer (Doğalgaz),320000,TRY
6736,Konut,Daire,8/31/18,11/3/18,1,64,0,4,En Üst Kat,4+1,,Samsun/Atakum/Denizevleri,,Kalorifer (Doğalgaz),1200000,TRY
6737,Konut,Daire,10/4/18,11/3/18,2,30,6-10 arası,6,2,3+1,,İstanbul/Ümraniye/Tatlısu,,Kalorifer (Doğalgaz),1700,TRY
6738,Konut,Villa,11/26/18,,1,93,0,3,Komple,5+1,285,Sakarya/Sapanca/Kırkpınar Soğuksu,,Kalorifer (Doğalgaz),1650000,TRY
6739,Konut,Daire,9/27/18,,1,153,11-15 arası,,Bodrum Kat,2+1,,Afyonkarahisar/Merkez/Kanlıca,,Kalorifer (Doğalgaz),120000,TRY
6740,Konut,Daire,9/27/18,10/20/18,1,23,11-15 arası,10-20 arası,9,3+1,,Gaziantep/Şahinbey/Bağlarbaşı,,Kalorifer (Doğalgaz),300000,TRY
6741,Konut,Daire,1/20/19,2/26/19,2,37,4,4,4,1+1,40,Eskişehir/Odunpazarı/İstiklal,,Kalorifer (Doğalgaz),950,TRY
6742,Konut,Daire,2/18/19,2/21/19,1,3,16-20 arası,10-20 arası,10,3+1,145,Kayseri/Melikgazi/Osman Kavuncu,,Kalorifer (Doğalgaz),270000,TRY
6743,Konut,Daire,9/20/18,10/20/18,1,30,1,6,3,2+1,,Zonguldak/Merkez/Bahçelievler,,Kalorifer (Doğalgaz),200000,TRY
6744,Konut,Daire,1/22/19,2/21/19,1,30,0,10,9,4+1,140,Adana/Sarıçam/Çarkıpare,,Kalorifer (Doğalgaz),400000,TRY
6745,Konut,Daire,2/21/19,,1,6,21-25 arası,5,4,2+1,80,İstanbul/Fatih/Haseki Sultan,,Kalorifer (Doğalgaz),450000,TRY
6746,Konut,Daire,1/21/19,,2,37,6-10 arası,7,,3+1,180,Gaziantep/Şahinbey/Karataş,,Kalorifer (Doğalgaz),1400,TRY
6747,Konut,Rezidans,10/27/18,12/30/18,1,64,,6,2,1+1,50,Gaziantep/Şehitkamil/Mücahitler,,Kalorifer (Doğalgaz),210000,TRY
6748,Konut,Daire,11/14/18,,1,105,6-10 arası,5,En Üst Kat,3+1,135,Tekirdağ/Çorlu/Muhittin,,Kalorifer (Doğalgaz),243000,TRY
6749,Konut,Müstakil Ev,9/8/18,,1,172,0,2,Müstakil,4+1,150,Aydın/Kuşadası/Kadınlar Denizi,,Kalorifer (Doğalgaz),950000,TRY
6750,Konut,Daire,9/4/18,9/4/18,1,0,1,5,,2+1,,İstanbul/Bayrampaşa/Muratpaşa,,Kalorifer (Doğalgaz),260000,TRY
6751,Konut,Daire,10/5/18,11/1/18,1,27,3,9,5,2+1,,İstanbul/Pendik/Yenişehir,,Kalorifer (Doğalgaz),420000,TRY
6752,Konut,Prefabrik Ev,12/10/18,1/6/19,1,27,,1,,2+1,100,Ankara/Çankaya/Kültür,,Kalorifer (Doğalgaz),80000,TRY
6753,Konut,Daire,11/18/18,,2,101,0,6,2,3+1,130,Konya/Karatay/Mengene,,Kalorifer (Doğalgaz),1250,TRY
6754,Konut,Daire,9/27/18,12/29/18,3,93,21-25 arası,20 ve üzeri,9,1+1,120,Bursa/Osmangazi/Altıparmak,,Kalorifer (Doğalgaz),70,TRY
6755,Konut,Daire,2/23/19,,1,4,3,10-20 arası,6,3+2,220,Adana/Seyhan/Ziyapaşa,,Kalorifer (Doğalgaz),575000,TRY
6756,Konut,Daire,9/29/18,,2,151,3,5,,3+1,,Afyonkarahisar/Merkez/Erenler,,Kalorifer (Doğalgaz),1200,TRY
6757,Konut,Daire,9/28/18,10/28/18,1,30,3,3,Yüksek Giriş,2+1,,İstanbul/Bağcılar/Hürriyet,,Kalorifer (Doğalgaz),269000,TRY
6758,Konut,Daire,11/8/18,11/17/18,1,9,,4,,3+1,,İzmir/Torbalı/Ertuğrul,,Kalorifer (Doğalgaz),350000,TRY
